Hour_of_Day;Average_NO2;Traffic_Period
0;21,03;Εκτός Αιχμής
1;19,26;Εκτός Αιχμής
2;17,74;Εκτός Αιχμής
3;17,79;Εκτός Αιχμής
4;19,82;Εκτός Αιχμής
5;23,65;Πρωινή Αιχμή
6;26,01;Πρωινή Αιχμή
7;24,73;Πρωινή Αιχμή
8;22,19;Πρωινή Αιχμή
9;19,33;Εκτός Αιχμής
10;16,75;Εκτός Αιχμής
11;15,19;Εκτός Αιχμής
12;14,19;Εκτός Αιχμής
13;13,97;Εκτός Αιχμής
14;14,31;Εκτός Αιχμής
15;15,85;Εκτός Αιχμής
16;19,07;Εκτός Αιχμής
17;21,75;Εκτός Αιχμής
18;24,11;Εκτός Αιχμής
19;26,28;Απογευματινή Αιχμή
20;27,14;Απογευματινή Αιχμή
21;26,82;Απογευματινή Αιχμή
22;25,11;Απογευματινή Αιχμή
23;22,99;Εκτός Αιχμής
